title,bite,label
Notice,"An official form of communication that informs individuals about the status of their applications, their eligibility for programs, or other important informa...",0
Net Capital Gains,"The amount by which your total long-term capital gain for the year is more than your short-term capital loss for the year.For more information, visit http:...",1
Navigator,"An individual or organization that's trained and able to help consumers, small businesses, and their employees as they look for health coverage options throu...",0
Multi-Employer Plan,"In general, a group health plan that's sponsored jointly by 2 or more employers.",0
Member Survey Results,A survey conducted by the Consumer Assessment of Healthcare Providers and Systems (CAHPS) which asks health plan members to rate the care their experiences w...,0
Marketplace,"Shorthand for the “Health Insurance Marketplace®,” a shopping and enrollment service for medical insurance created by the Affordable Care Act in 2010.In mo...",0
Large Group Health Plan,"In general, a group health plan that covers employees of an employer that has 51 or more employees. In some states large groups are defined as 101 or more.",0
Investment Income,"The income you get from an investment, like interest you get from a bank or dividends you get from a stock you own.For more information, see IRS Publicatio...",1
Interest,"The charge for the use of borrowed money.Interest you get from a bank or dividends from a stock you own are examples of investment income, which you should...",1
Inpatient Care,"Health care that you get when you're admitted as an inpatient to a health care facility, like a hospital or skilled nursing facility.",0
In Person Assistance Personnel Program,"Individuals or organizations that are trained and able to provide help to consumers, small businesses, and their employees as they look for health coverage o...",0
Health Plan Categories,"Levels of plans in the Health Insurance Marketplace®: Bronze, Silver, Gold, and Platinum. Categories (sometimes called “metal levels”) are based on how you a...",1
Health Coverage,"Legal entitlement to payment or reimbursement for your health care costs, generally under a contract with a health insurance company, a group health plan off...",1
Hardship Exemption,"An exemption that’s needed when applying for Catastrophic coverage for people 30 and older who faced a ""hardship"" that prevented them from getting insurance....",1
Group Health Plan,"In general, a health plan offered by an employer or employee organization that provides health coverage to employees and their families.",1
Gold Health Plan,One of 4 health plan categories (or “metal levels”) in the Health Insurance Marketplace®. Gold plans usually have higher monthly premiums but lower costs whe...,0
Generic Drugs,A prescription drug that has the same active-ingredient formula as a brand-name drug. Generic drugs usually cost less than brand-name drugs. The Food and Dru...,0
Full-Time Employee (FTE),Any employee who works an average of at least 30 hours per week for more than 120 days in a year. Part-time employees work an average of less than 30 hours p...,0
Fee,"A payment (""penalty,"" ""fine,"" ""individual mandate"") you made when you filed federal taxes if you didn't have health insurance that counted as qualifying heal...",1
Fee for Service,A method in which doctors and other health care providers are paid for each service performed. Examples of services include tests and office visits.Related...,1
Federally Recognized Tribe,"Any Indian or Alaska Native tribe, Alaska Native Claims Settlement Act (ANCSA) Corporation (regional or village), band, nation, pueblo, village, rancheria, o...",0
External Review,A review of a plan's decision to deny coverage for or payment of a service by an independent third-party not related to the plan. If the plan denies an appea...,0
Employer or Union Retiree Plans,"Plans that provide health and/or drug coverage to former employees or members, and, in some cases, their families. These plans are offered to people through ...",0
Eligible Immigration Status,An immigration status that's considered eligible for getting health coverage through the Marketplace. The rules for eligible immigration status may be differ...,0
Eligibility Assessment,"In certain states, the Marketplace doesn't provide the final decision on Medicaid eligibility. Instead, the Marketplace conducts an assessment and passes the...",0
Drug List,A list of prescription drugs covered by a prescription drug plan or another insurance plan offering prescription drug benefits. Also called a formulary.,0
Domestic Partnership,"Two people of the same or opposite sex who live together and share a domestic life, but aren't married or joined by a civil union. In some states, domestic p...",0
Dividend,A payment made by a for-profit corporation to its shareholders. This payment is a portion of the corporate earnings and may be paid a certain number of times...,0
Dependent,"A child or other individual for whom a parent, relative, or other person may claim a personal exemption tax deduction. Under the Affordable Care Act, individ...",0
Department of Health and Human Services (HHS),"The federal agency that oversees CMS, which administers programs for protecting the health of all Americans, including Medicare, the Marketplace, Medicaid, a...",0
Dental Coverage,"Benefits that help pay for the cost of visits to a dentist for basic or preventive services, like teeth cleaning, X-rays, and fillings. In the Marketplace, d...",1
Deductible,"The amount you pay for covered health care services before your insurance plan starts to pay. With a $2,000 deductible, for example, you pay the first $2,000...",1
Court Awards,Money that's due to you as the result of a lawsuit. This money may be taxable. Examples of lawsuit proceeds that aren't taxable are amounts awarded to you fo...,1
Cost Sharing Reduction (CSR),"A discount that lowers the amount you have to pay for deductibles, copayments, and coinsurance. In the Health Insurance Marketplace®, cost-sharing reductions...",1
Coordination of Benefits,A way to figure out who pays first when 2 or more health insurance plans are responsible for paying the same medical claim.,0
Co-op,"A non-profit organization in which the same people who own the company are insured by the company. Cooperatives can be formed at a national, state, or local ...",0
Certified Application Counselor,"An individual (affiliated with a designated organization) who is trained and able to help consumers, small businesses, and their employees as they look for h...",0
Centers for Medicare & Medicaid Services (CMS),"The federal agency that runs the Medicare, Medicaid, and Children's Health Insurance Programs, and the federally facilitated Marketplace. For more informatio...",0
Capital Gains,"A capital gain is the amount you get from selling property, like stock, a house, or a mutual fund. For example, if you buy stock for $1,000 and sell it for $...",1
Canceled Debts,"If you incurred a debt from a loan or from buying something on credit and a portion of the amount you owe is discharged or forgiven (""canceled""), the amount ...",1
Bronze Health Plan,One of 4 plan categories (also known as “metal levels”) in the Health Insurance Marketplace®. Bronze plans usually have the lowest monthly premiums but the h...,0
Broker,An agent or broker is a person or business who can help you apply for help paying for coverage and enroll in a Qualified Health Plan (QHP) through the Market...,0
Brand Name (Drugs),A drug sold by a drug company under a specific name or trademark and that is protected by a patent. Brand name drugs may be available by prescription or over...,0
Authorized Representative,"Someone who you choose to act on your behalf with the Marketplace, like a family member or other trusted person. Some authorized representatives may have leg...",0
Attest/Attestation,"When you apply for health coverage through the Marketplace, you're required to agree (or ""attest"") to the truth of the information provided by signing the ap...",0
Annual Deductible Combined,"Usually in Health Savings Account (HSA) eligible plans, the total amount that family members on a plan must pay out-of-pocket for health care or prescription...",1
Alimony,"Alimony is money you get from a spouse with whom you no longer live, or a former spouse, if paid to you as part of a divorce agreement, separation agreement,...",1
Agent and Broker (Health Insurance),A trained insurance professional who can help you enroll in a health insurance plan. Agents may work for a single health insurance company; brokers may repre...,0
Advance Premium Tax Credit (APTC),A tax credit you can take in advance to lower your monthly health insurance payment (or “premium”). When you apply for coverage in the Health Insurance Marke...,1
Accreditation,"If a Marketplace health plan is approved, this is the “seal of approval” given to the plan by an independent organization to show that the plan meets nationa...",0
Wellness Programs,"A program intended to improve and promote health and fitness that's usually offered through the work place, although insurance plans can offer them directly ...",0
Well-baby and Well-child Visits,Routine doctor visits for comprehensive preventive health services that occur when a baby is young and annual visits until a child reaches age 21. Services i...,0
Waiting Period (Job-based coverage),The time that must pass before coverage can become effective for an employee or dependent who is otherwise eligible for coverage under a job-based health plan.,0
Value-Based Purchasing (VBP),Linking provider payments to improved performance by health care providers. This form of payment holds health care providers accountable for both the cost an...,0
Urgent Care,"Care for an illness, injury or condition serious enough that a reasonable person would seek care right away, but not so severe it requires emergency room care.",0
Uncompensated Care,Health care or services provided by hospitals or health care providers that don't get reimbursed. Often uncompensated care arises when people don't have insu...,0
"UCR (Usual, Customary, and Reasonable)",The amount paid for a medical service in a geographic area based on what providers in the area usually charge for the same or similar medical service. The UC...,1
State Continuation Coverage,"A state-based requirement similar to COBRA that applies to group health insurance policies of employers with fewer than 20 employees. In some states, state c...",0
Specialist,"A physician specialist focuses on a specific area of medicine or a group of patients to diagnose, manage, prevent or treat certain types of symptoms and cond...",0
Special Health Care Need,"The health care and related needs of children who have chronic physical, developmental, behavioral or emotional conditions. Such needs are of a type or amoun...",0
Special Enrollment Period (SEP),A time outside the yearly Open Enrollment Period when you can sign up for health insurance. You qualify for a Special Enrollment Period if you’ve had certain...,0
Skilled Nursing Facility Care,"Skilled nursing care and rehabilitation services provided on a continuous, daily basis in a skilled nursing facility. Examples of skilled nursing facility ca...",0
Skilled Nursing Care,Services from licensed nurses in your own home or in a nursing home. Skilled care services are from technicians and therapists in your own home or in a nursi...,0
Self-Insured Plan,Type of plan usually present in larger companies where the employer itself collects premiums from enrollees and takes on the responsibility of paying employe...,0
Risk Adjustment,A statistical process that takes into account the underlying health status and health spending of the enrollees in an insurance plan when looking at their he...,0
Rider (exclusionary rider),"A rider is an amendment to an insurance policy. Some riders add coverage (for example, if you buy a maternity rider to add coverage for pregnancy to your pol...",0
Rescission,The retroactive cancellation of a health insurance policy. Insurance companies will sometimes retroactively cancel your entire policy if you made a mistake o...,1
Reinsurance,A reimbursement system that protects insurers from very high claims. It usually involves a third party paying part of an insurance company’s claims once they...,1
